Time (s),Mean HR Fallers (bpm),SD HR Fallers (bpm),Mean HR Non-Fallers (bpm),SD HR Non-Fallers (bpm)
-1.147999999999999972e+02,6.502022223402491363e+01,1.069954499842314455e+01,6.749238375124248535e+01,1.295061180089076025e+01
-1.147000000000000028e+02,6.502170467372229723e+01,1.069700375606097076e+01,6.749999336752452450e+01,1.298039311921830041e+01
-1.145999999999999943e+02,6.502280724500766951e+01,1.069366469186444490e+01,6.750611876210345486e+01,1.300688433428255664e+01
-1.145000000000000000e+02,6.502357864651888519e+01,1.068967305060368567e+01,6.751075531261164997e+01,1.303002726874971096e+01
-1.144000000000000057e+02,6.502405249074135440e+01,1.068516604012158133e+01,6.751391038098768149e+01,1.304980302217335186e+01
-1.142999999999999972e+02,6.502428642159036087e+01,1.068027522550406694e+01,6.751562298344420299e+01,1.306627079701373795e+01
-1.142000000000000028e+02,6.502439246782816440e+01,1.067513324287967968e+01,6.751604732410383747e+01,1.307971589620234276e+01
-1.140999999999999943e+02,6.502452775663316231e+01,1.066990682483879382e+01,6.751552923283870200e+01,1.309077810622586924e+01
-1.140000000000000000e+02,6.502486599171625414e+01,1.066480988714292089e+01,6.751450837944786088e+01,1.310027355039645691e+01
-1.139000000000000057e+02,6.502549543813485400e+01,1.066004746631411670e+01,6.751342163602581081e+01,1.310902422790058175e+01
-1.137999999999999972e+02,6.502634405109024840e+01,1.065577122077765182e+01,6.751268639688650808e+01,1.311782079772290999e+01
-1.137000000000000028e+02,6.502729649765737463e+01,1.065210188943054348e+01,6.751260779638585063e+01,1.312721740853362817e+01
-1.135999999999999943e+02,6.502830196122428674e+01,1.064913063905557777e+01,6.751332605035946699e+01,1.313738505648400334e+01
-1.135000000000000000e+02,6.502934095867200881e+01,1.064688439090915928e+01,6.751491549398974712e+01,1.314827856874508072e+01
-1.134000000000000057e+02,6.503034208175377273e+01,1.064529167243309971e+01,6.751745321452233384e+01,1.315979198464650324e+01
-1.132999999999999972e+02,6.503114426537359805e+01,1.064419396418693076e+01,6.752100634286345837e+01,1.317176942387015437e+01
-1.132000000000000028e+02,6.503153836336082350e+01,1.064340538984124862e+01,6.752557410061908172e+01,1.318390849081616167e+01
-1.130999999999999943e+02,6.503130790147424989e+01,1.064274211594194419e+01,6.753105265116211342e+01,1.319569369563992645e+01
-1.130000000000000000e+02,6.503031071634941895e+01,1.064205599672101243e+01,6.753729737285898693e+01,1.320652855209665866e+01
-1.129000000000000057e+02,6.502856711660537314e+01,1.064127242939978579e+01,6.754418096536977600e+01,1.321596651827752744e+01
-1.127999999999999972e+02,6.502621710988977100e+01,1.064035099109879390e+01,6.755159943306315995e+01,1.322383569055101837e+01
-1.127000000000000028e+02,6.502347192051466607e+01,1.063927240381521955e+01,6.755944628305141464e+01,1.323010715935613923e+01
-1.125999999999999943e+02,6.502059421014745055e+01,1.063808474922012515e+01,6.756760932657931562e+01,1.323479648545418996e+01
-1.125000000000000000e+02,6.501784515845943702e+01,1.063689312199504933e+01,6.757599940129557581e+01,1.323800557923360621e+01
-1.124000000000000057e+02,6.501548083181718596e+01,1.063581985497573967e+01,6.758455291575937451e+01,1.323989675258344967e+01
-1.122999999999999972e+02,6.501377106812719830e+01,1.063498210907866692e+01,6.759321035518667031e+01,1.324063421375094762e+01
-1.122000000000000028e+02,6.501292704188503535e+01,1.063445901343308364e+01,6.760188730590745365e+01,1.324035666458921767e+01
