Time (s),Mean DBP (mmHg),SD DBP (mmHg)
-1.055999999999999943e+02,6.024957283233814564e+01,1.016888996383531030e+01
-1.055000000000000000e+02,6.021632199683642739e+01,1.013533263002325491e+01
-1.054000000000000057e+02,6.018063338397742257e+01,1.010562064931873216e+01
-1.052999999999999972e+02,6.013964827434667626e+01,1.008014963581700485e+01
-1.052000000000000028e+02,6.012807365747441679e+01,1.008311190931043200e+01
-1.050999999999999943e+02,6.014631434522645037e+01,1.010090547941017647e+01
-1.050000000000000000e+02,6.015808288000944515e+01,1.012112225987985958e+01
-1.049000000000000057e+02,6.017435383521712566e+01,1.019978375969491502e+01
-1.047999999999999972e+02,6.018966861046998673e+01,1.029327325611351007e+01
-1.047000000000000028e+02,6.025569514250637582e+01,1.038071527170022357e+01
-1.045999999999999943e+02,6.026648210155892116e+01,1.032478791475273106e+01
-1.045000000000000000e+02,6.027972806122004812e+01,1.028786915416309711e+01
-1.044000000000000057e+02,6.027834778434873897e+01,1.023963259366951917e+01
-1.042999999999999972e+02,6.028436661013143549e+01,1.016453591527965017e+01
-1.042000000000000028e+02,6.030458384422873763e+01,1.013825125929094817e+01
-1.040999999999999943e+02,6.021654087763917573e+01,1.005288103428431690e+01
-1.040000000000000000e+02,6.012016340497312683e+01,9.981545549324568611e+00
-1.039000000000000057e+02,6.007802161074464209e+01,9.949868956572316847e+00
-1.037999999999999972e+02,6.008174352274764374e+01,9.953426493498593430e+00
-1.037000000000000028e+02,6.007953231585208442e+01,1.001041549263841901e+01
-1.035999999999999943e+02,6.012914161488502174e+01,1.019332077206559539e+01
-1.035000000000000000e+02,6.017158215929016052e+01,1.039172129261013566e+01
-1.034000000000000057e+02,6.020487885395015581e+01,1.060525491473551085e+01
-1.032999999999999972e+02,6.022463805385510938e+01,1.082560385579471252e+01
-1.032000000000000028e+02,6.029054845220977654e+01,1.101143573294337052e+01
-1.030999999999999943e+02,6.030140496929178795e+01,1.099457957872848013e+01
-1.030000000000000000e+02,6.027841282593188765e+01,1.089484741150245917e+01
-1.029000000000000057e+02,6.026750813989799127e+01,1.078728186865893512e+01
-1.027999999999999972e+02,6.026501752368015019e+01,1.067247880565381202e+01
-1.027000000000000028e+02,6.025758984803660923e+01,1.056687422244390007e+01
-1.025999999999999943e+02,6.024981931793506362e+01,1.049223659100818651e+01
-1.025000000000000000e+02,6.030653961262580509e+01,1.058672763249468751e+01
-1.024000000000000057e+02,6.037550970518816484e+01,1.069249594449335206e+01
-1.022999999999999972e+02,6.045162992015124104e+01,1.081125870056982841e+01
-1.022000000000000028e+02,6.052190437183059402e+01,1.093470786626019020e+01
-1.020999999999999943e+02,6.059578934382390969e+01,1.104993690102196169e+01
-1.020000000000000000e+02,6.068532158837627577e+01,1.111205708106245993e+01
-1.019000000000000057e+02,6.080581961485770393e+01,1.124674349217001712e+01
-1.017999999999999972e+02,6.092894649702188303e+01,1.144743941853997882e+01
-1.017000000000000028e+02,6.105204035150411812e+01,1.171386498426354450e+01
-1.015999999999999943e+02,6.115918281556662350e+01,1.205182511522457567e+01
-1.015000000000000000e+02,6.116666529924989248e+01,1.214710562311093867e+01
-1.014000000000000057e+02,6.115515608455442731e+01,1.216107339075391103e+01
-1.012999999999999972e+02,6.109244172646538829e+01,1.218433756763607612e+01
-1.012000000000000028e+02,6.100631384484024977e+01,1.221392153517917478e+01
-1.010999999999999943e+02,6.090704979958749732e+01,1.226625689984955869e+01
-1.010000000000000000e+02,6.077414872457911343e+01,1.236573552781476693e+01
-1.009000000000000057e+02,6.061964997182858639e+01,1.246638326825669019e+01
-1.007999999999999972e+02,6.048052513514126360e+01,1.256441827654883525e+01
-1.007000000000000028e+02,6.035900662039757947e+01,1.266470079647972291e+01
-1.005999999999999943e+02,6.023824401801952177e+01,1.277324461626524510e+01
-1.005000000000000000e+02,6.013187443635531082e+01,1.289165419276276836e+01
-1.004000000000000057e+02,6.003309526519726091e+01,1.301745400034601730e+01
-1.002999999999999972e+02,6.012207815668010369e+01,1.310341040423939596e+01
-1.002000000000000028e+02,6.028294116784923773e+01,1.320979169778437168e+01
-1.000999999999999943e+02,6.041291919431323265e+01,1.322518125182757487e+01
-1.000000000000000000e+02,6.055496102224476118e+01,1.323682798851926989e+01
-9.990000000000000568e+01,6.071325922987209367e+01,1.326001363478880180e+01
-9.979999999999999716e+01,6.086636216998864057e+01,1.329371317380667783e+01
-9.970000000000000284e+01,6.090823546301755442e+01,1.321391495686640383e+01
-9.959999999999999432e+01,6.089526583487399591e+01,1.308035233912661255e+01
-9.950000000000000000e+01,6.085687216952690903e+01,1.295449130245738978e+01
-9.940000000000000568e+01,6.079919725673100572e+01,1.283108303067769285e+01
-9.929999999999999716e+01,6.074049639901814146e+01,1.271111330805219275e+01
-9.920000000000000284e+01,6.067120167051779589e+01,1.259775340155263201e+01
-9.909999999999999432e+01,6.059294698654642986e+01,1.248952550282158747e+01
-9.900000000000000000e+01,6.055627185362608600e+01,1.244895332160719548e+01
-9.890000000000000568e+01,6.055626423419634818e+01,1.246114394724415320e+01
-9.879999999999999716e+01,6.055435593682375384e+01,1.247921899507996102e+01
-9.870000000000000284e+01,6.054808498786704973e+01,1.250255568767897785e+01
-9.859999999999999432e+01,6.056000662244219512e+01,1.251796197018031442e+01
-9.850000000000000000e+01,6.057554496058612870e+01,1.249003767673800169e+01
-9.840000000000000568e+01,6.057036282870034682e+01,1.237709332004735963e+01
-9.829999999999999716e+01,6.056101172896929086e+01,1.223500144812771140e+01
-9.820000000000000284e+01,6.055241527658338896e+01,1.210199378401911652e+01
-9.809999999999999432e+01,6.054841612304972642e+01,1.198462054666713605e+01
-9.800000000000000000e+01,6.056189924532203861e+01,1.188445288705316472e+01
-9.790000000000000568e+01,6.057967562059715760e+01,1.181407604735979078e+01
-9.779999999999999716e+01,6.053087869893216322e+01,1.165278370600911018e+01
-9.770000000000000284e+01,6.048795056201375075e+01,1.153176231701660903e+01
-9.759999999999999432e+01,6.044600060181104340e+01,1.145773055453360101e+01
-9.750000000000000000e+01,6.044832358681481566e+01,1.144027875038780273e+01
-9.740000000000000568e+01,6.044454819249462929e+01,1.143563977061641168e+01
-9.729999999999999716e+01,6.044373047499928475e+01,1.143699090020217923e+01
-9.720000000000000284e+01,6.044235567256193775e+01,1.144699519120500497e+01
-9.709999999999999432e+01,6.046377016135706839e+01,1.147249011974481370e+01
-9.700000000000000000e+01,6.051307769131067715e+01,1.151099494971933446e+01
-9.690000000000000568e+01,6.055649611229294749e+01,1.153379111820601644e+01
-9.679999999999999716e+01,6.059016605382327469e+01,1.155736424059791823e+01
-9.670000000000000284e+01,6.060937499034147180e+01,1.157242739206155946e+01
-9.659999999999999432e+01,6.063335207673478777e+01,1.157564620084806251e+01
-9.650000000000000000e+01,6.065432890204998984e+01,1.156181088745959329e+01
-9.640000000000000568e+01,6.068470274756857208e+01,1.155121272877565630e+01
-9.629999999999999716e+01,6.070884910586790539e+01,1.154479837675116549e+01
-9.620000000000000284e+01,6.072479172230354294e+01,1.153742331631601559e+01
-9.609999999999999432e+01,6.073825302389040814e+01,1.153191986785303058e+01
-9.600000000000000000e+01,6.073205646496356280e+01,1.155099969884705757e+01
-9.590000000000000568e+01,6.075374915494600714e+01,1.159617894921547254e+01
-9.579999999999999716e+01,6.077373117274091641e+01,1.165113330884051379e+01
-9.570000000000000284e+01,6.079355496825143490e+01,1.171327962013229218e+01
-9.559999999999999432e+01,6.081241847554517221e+01,1.178539863406511223e+01
-9.550000000000000000e+01,6.083072955197999221e+01,1.186668058005398052e+01
-9.540000000000000568e+01,6.081660052487161039e+01,1.191989621903840302e+01
-9.529999999999999716e+01,6.080437040436933671e+01,1.198342447193297744e+01
-9.520000000000000284e+01,6.085002779146984153e+01,1.209394178992933178e+01
-9.509999999999999432e+01,6.088325168735870818e+01,1.221255226490689871e+01
-9.500000000000000000e+01,6.091015030069659986e+01,1.234197678630135897e+01
-9.490000000000000568e+01,6.093406171244113523e+01,1.247476316275106178e+01
-9.479999999999999716e+01,6.094246528362482707e+01,1.260879237012131959e+01
-9.470000000000000284e+01,6.087445011962393693e+01,1.265366430789033458e+01
-9.459999999999999432e+01,6.076505694963236692e+01,1.261958687665721079e+01
-9.450000000000000000e+01,6.069300061752601039e+01,1.253244275957945497e+01
-9.440000000000000568e+01,6.066598896371581162e+01,1.236998711452939048e+01
-9.429999999999999716e+01,6.063956592273653712e+01,1.222028359154980848e+01
-9.420000000000000284e+01,6.061496717161521985e+01,1.208439305862702184e+01
-9.409999999999999432e+01,6.061048434445330457e+01,1.196885909271881054e+01
-9.400000000000000000e+01,6.060585250668499668e+01,1.185190256980756729e+01
-9.390000000000000568e+01,6.059899474587345480e+01,1.174008016229880269e+01
-9.379999999999999716e+01,6.058956128084351178e+01,1.163858433582083762e+01
-9.370000000000000284e+01,6.055736389103149975e+01,1.158738314884802278e+01
-9.359999999999999432e+01,6.052474262995900034e+01,1.162240469235947771e+01
-9.350000000000000000e+01,6.058107587140113992e+01,1.169665058572642025e+01
-9.340000000000000568e+01,6.065189026716453213e+01,1.177509222410387224e+01
-9.329999999999999716e+01,6.073531274710231287e+01,1.186706214085694100e+01
-9.320000000000000284e+01,6.083538326327492030e+01,1.198480517689761271e+01
-9.309999999999999432e+01,6.093133122674645819e+01,1.212214485439459821e+01
-9.300000000000000000e+01,6.090937393856909665e+01,1.214801750482868847e+01
-9.290000000000000568e+01,6.086160551206472036e+01,1.213919481112468901e+01
-9.279999999999999716e+01,6.083470100549998705e+01,1.211915712742796991e+01
-9.270000000000000284e+01,6.082991875671664417e+01,1.210100266501327582e+01
-9.259999999999999432e+01,6.082525574781797673e+01,1.209687473997337470e+01
-9.250000000000000000e+01,6.081741645867798951e+01,1.210933156890473761e+01
-9.240000000000000568e+01,6.077917758609466858e+01,1.211568833716220794e+01
-9.229999999999999716e+01,6.068305468791973567e+01,1.204673134933992351e+01
-9.220000000000000284e+01,6.058539096940150159e+01,1.198956462366194309e+01
-9.209999999999999432e+01,6.049694653694937330e+01,1.194725246741903746e+01
-9.200000000000000000e+01,6.041657749352727791e+01,1.190958951909349928e+01
-9.190000000000000568e+01,6.044279545791344077e+01,1.184181832587607097e+01
-9.179999999999999716e+01,6.047512289382301987e+01,1.178126435793294569e+01
-9.170000000000000284e+01,6.051193691296035837e+01,1.172568275167737895e+01
-9.159999999999999432e+01,6.056735436448482801e+01,1.170294599749141184e+01
-9.150000000000000000e+01,6.064863354238219273e+01,1.172278196883163659e+01
-9.140000000000000568e+01,6.075404531883513926e+01,1.175113057296433539e+01
-9.129999999999999716e+01,6.079492289535008354e+01,1.176434798957614269e+01
-9.120000000000000284e+01,6.080801669546656996e+01,1.177670457723737663e+01
-9.109999999999999432e+01,6.082125651427436708e+01,1.179693543506521891e+01
-9.100000000000000000e+01,6.083455183692618107e+01,1.182218465623192039e+01
-9.090000000000000568e+01,6.080457865245156768e+01,1.175303505096566070e+01
-9.079999999999999716e+01,6.072925980922074274e+01,1.160780981746521157e+01
-9.070000000000000284e+01,6.060736587181862234e+01,1.144441724705134078e+01
-9.059999999999999432e+01,6.053843953848295456e+01,1.127934509867848156e+01
-9.050000000000000000e+01,6.049992071886043021e+01,1.113433562786942232e+01
-9.040000000000000568e+01,6.046052049757505387e+01,1.101604611254956900e+01
-9.029999999999999716e+01,6.038989136133794489e+01,1.092254548702432615e+01
-9.020000000000000284e+01,6.031221098334621900e+01,1.085798791255902529e+01
-9.009999999999999432e+01,6.021761480626758356e+01,1.078205050718034208e+01
-9.000000000000000000e+01,6.003050515652105190e+01,1.066165058764828544e+01
-8.990000000000000568e+01,5.988308657162464499e+01,1.059715327621890957e+01
-8.980000000000001137e+01,5.976736375902161313e+01,1.056283703577543065e+01
-8.970000000000000284e+01,5.966148275591560690e+01,1.054799258288712949e+01
-8.959999999999999432e+01,5.956177805257950553e+01,1.056382355863335931e+01
-8.950000000000000000e+01,5.949120510453487753e+01,1.058160356072584385e+01
-8.940000000000000568e+01,5.944856635269731271e+01,1.060670265157165915e+01
-8.930000000000001137e+01,5.948834322935069707e+01,1.059544865155700144e+01
-8.920000000000000284e+01,5.953591670332142627e+01,1.057584120553662288e+01
-8.909999999999999432e+01,5.955212642972576731e+01,1.055811823740050848e+01
-8.900000000000000000e+01,5.953667476289897564e+01,1.048594213146560072e+01
-8.890000000000000568e+01,5.953815750927773109e+01,1.042259025047805032e+01
-8.880000000000001137e+01,5.957914980785569270e+01,1.037632749397968368e+01
-8.870000000000000284e+01,5.960032953770097208e+01,1.033674336997717091e+01
-8.859999999999999432e+01,5.960163201804409283e+01,1.029205022430996230e+01
-8.850000000000000000e+01,5.960797161426172863e+01,1.025166924556640247e+01
-8.840000000000000568e+01,5.961158499863336147e+01,1.021020505896764874e+01
-8.830000000000001137e+01,5.962887520869423952e+01,1.016421009667292985e+01
-8.820000000000000284e+01,5.968071452974623270e+01,1.017547080448029639e+01
-8.809999999999999432e+01,5.973953181088100450e+01,1.019588701653273510e+01
-8.800000000000000000e+01,5.978242092786457107e+01,1.021877786847956848e+01
-8.790000000000000568e+01,5.983383249418833572e+01,1.024827890625878801e+01
-8.780000000000001137e+01,5.985374581834534524e+01,1.026604053809784922e+01
-8.770000000000000284e+01,5.985440632461487809e+01,1.024077063786713637e+01
-8.759999999999999432e+01,5.982768088816568763e+01,1.014159162969629158e+01
-8.750000000000000000e+01,5.980682341812394043e+01,1.004968694054034728e+01
-8.740000000000000568e+01,5.978635753744417514e+01,9.955471949702166867e+00
-8.730000000000001137e+01,5.977297696165608443e+01,9.864987764721442787e+00
-8.720000000000000284e+01,5.975873585109994934e+01,9.787415957096861518e+00
-8.709999999999999432e+01,5.975690591079679592e+01,9.753285789882495393e+00
-8.700000000000000000e+01,5.976633657263463562e+01,9.718921475773900198e+00
-8.690000000000000568e+01,5.978392343587950108e+01,9.688597669921334088e+00
-8.680000000000001137e+01,5.984544187522836722e+01,9.715554296212648211e+00
-8.670000000000000284e+01,5.990947807944215242e+01,9.772022829268932398e+00
-8.659999999999999432e+01,5.994525625029764626e+01,9.829878214947269655e+00
-8.650000000000000000e+01,5.998121589186458635e+01,9.897684643095788104e+00
-8.640000000000000568e+01,6.002067068225975532e+01,9.974444280819877662e+00
-8.630000000000001137e+01,6.005922846345650612e+01,1.005620111668362249e+01
