Time (s),Mean SBP (mmHg),SD SBP (mmHg)
-1.095999999999999943e+02,1.172260271574568691e+02,1.940463146021264151e+01
-1.095000000000000000e+02,1.173536938770025984e+02,1.952116919598437761e+01
-1.094000000000000057e+02,1.173561082797708224e+02,1.928850053566245037e+01
-1.092999999999999972e+02,1.174109621666754180e+02,1.903706214433821131e+01
-1.092000000000000028e+02,1.174761536313937853e+02,1.882310956076911879e+01
-1.090999999999999943e+02,1.175133020613066321e+02,1.862151459014518906e+01
-1.090000000000000000e+02,1.174454642860438582e+02,1.839879415742231927e+01
-1.089000000000000057e+02,1.173724994823977852e+02,1.819984969334120706e+01
-1.087999999999999972e+02,1.172923540543669958e+02,1.801737379371103387e+01
-1.087000000000000028e+02,1.172454857667751895e+02,1.790462007509086817e+01
-1.085999999999999943e+02,1.172026053823035596e+02,1.781212511606024407e+01
-1.085000000000000000e+02,1.171443930206890087e+02,1.772683817837685183e+01
-1.084000000000000057e+02,1.171098291318200921e+02,1.766921886470833059e+01
-1.082999999999999972e+02,1.170973257075375784e+02,1.761620039872263987e+01
-1.082000000000000028e+02,1.171084661287448228e+02,1.756384416154350347e+01
-1.080999999999999943e+02,1.170857466769032555e+02,1.753689351288352327e+01
-1.080000000000000000e+02,1.170617150784092502e+02,1.752422258334546612e+01
-1.079000000000000057e+02,1.170554396675137809e+02,1.752079972360457205e+01
-1.077999999999999972e+02,1.170224201173924001e+02,1.750032197010686730e+01
-1.077000000000000028e+02,1.171306543683394636e+02,1.754453980667729240e+01
-1.075999999999999943e+02,1.173000416854173977e+02,1.764382634959542528e+01
-1.075000000000000000e+02,1.174504079081741992e+02,1.777306155826633827e+01
-1.074000000000000057e+02,1.175718828146170125e+02,1.795122208379417827e+01
-1.072999999999999972e+02,1.176854230835610764e+02,1.817808887629538717e+01
-1.072000000000000028e+02,1.176420089229194019e+02,1.823269022546456597e+01
-1.070999999999999943e+02,1.175843878465918522e+02,1.828193158621928660e+01
-1.070000000000000000e+02,1.174987194213677242e+02,1.831596692326800735e+01
-1.069000000000000057e+02,1.174345363340674453e+02,1.833359003035947765e+01
-1.067999999999999972e+02,1.173809829596637258e+02,1.836690073263995160e+01
-1.067000000000000028e+02,1.173436062431253930e+02,1.846999905381517948e+01
-1.065999999999999943e+02,1.173066498698783846e+02,1.859058490539284492e+01
-1.065000000000000000e+02,1.172634990225881921e+02,1.871332094776568411e+01
-1.064000000000000057e+02,1.172702281500965711e+02,1.882204365540374269e+01
-1.062999999999999972e+02,1.172878714431873561e+02,1.893308735787031338e+01
