Time (s),Mean DBP Fallers (mmHg),SD DBP Fallers (mmHg),Mean DBP Non-Fallers (mmHg),SD DBP Non-Fallers (mmHg)
-1.125000000000000000e+02,5.893825582757813208e+01,6.791987002551929109e+00,6.419967993949002505e+01,1.173242708169298609e+01
-1.124000000000000057e+02,5.900750429194005164e+01,6.834331666705238284e+00,6.425415630812283041e+01,1.172942723615025606e+01
-1.122999999999999972e+02,5.904049114176402924e+01,6.859029262589317000e+00,6.431171353448154093e+01,1.174047473561118338e+01
-1.122000000000000028e+02,5.906227405045851242e+01,6.878875231294779624e+00,6.437187194459743012e+01,1.177137403438013585e+01
-1.120999999999999943e+02,5.906671610725741317e+01,6.899376575897719022e+00,6.446190399300151341e+01,1.182258029718867220e+01
-1.120000000000000000e+02,5.907058473590208081e+01,6.922245147642970053e+00,6.452755579554657572e+01,1.185651054885228106e+01
-1.119000000000000057e+02,5.907174980611685555e+01,6.953259207821038679e+00,6.456113326284837228e+01,1.187107172086035867e+01
-1.117999999999999972e+02,5.907634186514709995e+01,6.991683821941739652e+00,6.458705735460223707e+01,1.188161273326195122e+01
-1.117000000000000028e+02,5.908077430300311761e+01,7.017462377515405691e+00,6.459100838522539334e+01,1.188013303748879856e+01
-1.115999999999999943e+02,5.907211792645745874e+01,7.040883507301113120e+00,6.455921303442892167e+01,1.187152898470615980e+01
-1.115000000000000000e+02,5.906693452367937169e+01,7.067843635798255697e+00,6.452526151799992249e+01,1.190085184659342410e+01
-1.114000000000000057e+02,5.905830464841406524e+01,7.081107207385837654e+00,6.452235718450364743e+01,1.192816197616255458e+01
-1.112999999999999972e+02,5.904696171089304357e+01,7.088391714502706442e+00,6.453246127820544586e+01,1.196465700363106066e+01
-1.112000000000000028e+02,5.903324773601680420e+01,7.094298919913832435e+00,6.450317319193609933e+01,1.193199907107767110e+01
-1.110999999999999943e+02,5.901998180309112030e+01,7.096972505859554303e+00,6.444509358166327218e+01,1.186479654252773841e+01
