Time (s),Mean SBP Fallers (mmHg),SD SBP Fallers (mmHg),Mean SBP Non-Fallers (mmHg),SD SBP Non-Fallers (mmHg)
-1.094000000000000057e+02,1.149011987480139396e+02,1.724611369388662041e+01,1.243996214946512424e+02,2.139240950519899798e+01
-1.092999999999999972e+02,1.149669967245532405e+02,1.712553678665932466e+01,1.243480910095048273e+02,2.131439156393008005e+01
-1.092000000000000028e+02,1.150198618974721398e+02,1.704108507532989947e+01,1.243101327541999268e+02,2.124832272089553342e+01
-1.090999999999999943e+02,1.150534275131027471e+02,1.697507694989926463e+01,1.242648120412466000e+02,2.117727916595251969e+01
-1.090000000000000000e+02,1.150975518859726492e+02,1.691662889550143589e+01,1.241952188686500733e+02,2.111156160274639504e+01
-1.089000000000000057e+02,1.151515151925720772e+02,1.687478000784704690e+01,1.241166697211634045e+02,2.104907984128138665e+01
-1.087999999999999972e+02,1.152097554633776895e+02,1.685037830236872836e+01,1.240347078074945983e+02,2.099453547515529550e+01
-1.087000000000000028e+02,1.152874255525242688e+02,1.686170080136482596e+01,1.239699013649050556e+02,2.096777893409842619e+01
-1.085999999999999943e+02,1.153229236057996729e+02,1.689614485486786322e+01,1.239236126944460779e+02,2.096100084287357390e+01
-1.085000000000000000e+02,1.153345950731559952e+02,1.693380617835214252e+01,1.238828059108816859e+02,2.092980594510104808e+01
-1.084000000000000057e+02,1.153268437136839140e+02,1.699979940380773158e+01,1.238707650948642112e+02,2.091646252242444604e+01
-1.082999999999999972e+02,1.153144953210587005e+02,1.708575975756943421e+01,1.238849427289055996e+02,2.091478329078484677e+01
-1.082000000000000028e+02,1.152632325065491159e+02,1.713513874360919331e+01,1.239114875266901521e+02,2.090326273691013270e+01
-1.080999999999999943e+02,1.151434460749798916e+02,1.722320134219545196e+01,1.239305597752078256e+02,2.088210868239135110e+01
-1.080000000000000000e+02,1.150693931645544694e+02,1.728621235197317318e+01,1.239313811969056616e+02,2.086628971536246269e+01
-1.079000000000000057e+02,1.150297525328792290e+02,1.731240823002036322e+01,1.239449632173060962e+02,2.085792513847799867e+01
-1.077999999999999972e+02,1.149421518791911581e+02,1.731113022242981359e+01,1.239671094471550674e+02,2.083836631379450210e+01
-1.077000000000000028e+02,1.148642599385554490e+02,1.730220633155573395e+01,1.239778390350493851e+02,2.077348403877789451e+01
-1.075999999999999943e+02,1.147951241581594388e+02,1.727712254322330665e+01,1.240034384070159632e+02,2.074674111339799509e+01
-1.075000000000000000e+02,1.147156387832386457e+02,1.724511602250404607e+01,1.240234504612697890e+02,2.075233931536101650e+01
